age_group,abs_est,abs_lower,abs_upper,prc_est,prc_lower,prc_upper,rate_est,rate_lower,rate_upper
0-5,-180,-481,121,-0.8,-2.1,0.5,-1,-4,1
6-10,34,-49,117,2.0,-2.8,6.8,0,0,1
11-19,35,-117,187,0.7,-2.2,3.5,0,-1,1
20-29,931,736,1126,7.7,6.1,9.3,5,4,5
30-39,2577,2272,2882,12.0,10.5,13.4,14,12,15
40-49,3284,2781,3787,7.2,6.1,8.3,20,17,23
50-59,6189,5398,6980,7.3,6.4,8.3,47,41,53
60-69,16910,15849,17971,14.3,13.4,15.2,189,177,201
70+,38324,35278,41370,10.4,9.6,11.2,565,520,610
all,68104,63457,72751,10.0,9.3,10.7,53,50,57
